"name","nationality_label","prize","lat","lon"
"Heinrich Rohrer","Switzerland","{Nobel Prize in Physics|Elliott Cresson Medal}","47","8"
"Edmund Phelps","United States","{Legion of Honour|Nobel Memorial Prize in Economic Sciences}","38","-97"
"John Gurdon","United Kingdom","{Albert Lasker Award for Basic Medical Research|Nobel Prize in Physiology or Medicine|Wolf Prize in Medicine}","54","-2"
"Arno Allan Penzias","United States","NULL","38","-97"
"Richard R. Ernst","Switzerland","Nobel Prize in Chemistry","47","8"
"Claude Cohen-Tannoudji","Algeria","{Nobel Prize in Physics|Lilienfeld Prize|Harvey Prize}","28","3"
"John L. Hall","United States","Nobel Prize in Physics","38","-97"
"Daniel Kahneman","Israel","{University of Louisville|American Psychological Association|Association for Psychological Science|Nobel Memorial Prize in Economic Sciences}","31.47","35.13"
"Bengt I. Samuelsson","Sweden","Nobel Prize in Physiology or Medicine","62","15"
"Howard Martin Temin","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Carlo Rubbia","Italy","Nobel Prize in Physics","42.83333333","12.83333333"
"William Forsyth Sharpe","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Clive Granger","United Kingdom","Nobel Memorial Prize in Economic Sciences","54","-2"
"Ei-ichi Negishi","Japan","{Nobel Prize in Chemistry|Order of Culture|Person of Cultural Merit}","36","138"
"J. Michael Bishop","United States","{Nobel Prize in Physiology or Medicine|National Medal of Science}","38","-97"
"Harald zur Hausen","Germany","Nobel Prize in Physiology or Medicine","51","9"
"James Mirrlees","United Kingdom","Nobel Memorial Prize in Economic Sciences","54","-2"
"Robert Woodrow Wilson","United States","NULL","38","-97"
"Gerhard Ertl","Germany","{Wolf Prize in Chemistry|Nobel Prize in Chemistry}","51","9"
"Ferid Murad","United States","{Albert Lasker Award for Basic Medical Research|Nobel Prize in Physiology or Medicine}","38","-97"
"Samuel C. C. Ting","United States","NULL","38","-97"
"Kenneth G. Wilson","United States","{Nobel Prize in Physics|Wolf Prize}","38","-97"
"Mario Capecchi","United States","{Albert Lasker Award for Basic Medical Research|Nobel Prize in Physiology or Medicine|Wolf Prize in Medicine}","38","-97"
"John Hume","Ireland","NULL","53","-8"
"Avram Hershko","Israel","Nobel Prize in Chemistry","31.47","35.13"
"Robert Coleman Richardson","United States","Nobel Prize in Physics","38","-97"
"Robert Huber","Germany","Nobel Prize in Chemistry","51","9"
"Robert Lucas Jr.","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Robin Warren","Australia","Nobel Prize in Physiology or Medicine","-27","133"
"Daniel McFadden","United States","{Frisch Medal|Erwin Plein Nemmers Prize in Economics|John Bates Clark Medal|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Ryōji Noyori","Japan","{Lomonosov Gold Medal|Wolf Prize in Chemistry|Nobel Prize in Chemistry}","36","138"
"Kofi Annan","Ghana","NULL","8","-2"
"Kurt Wüthrich","Switzerland","{Nobel Prize in Chemistry|Kyoto Prize}","47","8"
"Albert Fert","France","{Japan Prize|Nobel Prize in Physics|Wolf Prize in Physics}","46","2"
"Eugene Fama","United States","{Deutsche Bank Prize in Financial Economics|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Peter Grünberg","Germany","{Japan Prize|Nobel Prize in Physics|Wolf Prize in Physics|European Inventor Award}","51","9"
"Sidney Altman","Canada","Nobel Prize in Chemistry","60","-95"
"Susumu Tonegawa","Japan","{Louisa Gross Horwitz Prize|Nobel Prize in Physiology or Medicine}","36","138"
"Jean-Marie Lehn","France","Nobel Prize in Chemistry","46","2"
"Seamus Heaney","Ireland","{Geoffrey Faber Memorial Prize|Nobel Prize in Literature|Saoi|T. S. Eliot Prize|E. M. Forster Award|Commandeur|Struga Poetry Evenings}","53","-8"
"Ada Yonath","Israel","{Albert Einstein World Award of Science|Wolf Prize in Chemistry|Nobel Prize in Chemistry|L'Oréal-UNESCO Awards for Women in Science|Harvey Prize}","31.47","35.13"
"Daniel C. Tsui","United States","Nobel Prize in Physics","38","-97"
"J. M. Coetzee","Australia","NULL","-27","133"
"J. M. G. Le Clézio","France","NULL","46","2"
"George Akerlof","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Peter C. Doherty","Australia","Nobel Prize in Physiology or Medicine","-27","133"
"Peter Diamond","United States","NULL","38","-97"
"Toshihide Maskawa","Japan","{Japan Academy Prize (academics)|Nobel Prize in Physics|Asahi Prize|Sakurai Prize}","36","138"
"Arieh Warshel","Israel","Nobel Prize in Chemistry","31.47","35.13"
"Muhammad Yunus","Bangladesh","{Congressional Gold Medal|Aga Khan Award for Architecture|World Food Prize|Nobel Peace Prize}","24","90"
"Theodor W. Hänsch","Germany","{Nobel Prize in Physics|Comstock Prize in Physics|Gottfried Wilhelm Leibniz Prize}","51","9"
"Louis Ignarro","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Joseph Hooton Taylor Jr.","United States","{Henry Draper Medal|Nobel Prize in Physics|Wolf Prize in Physics|John J. Carty Award for the Advancement of Science}","38","-97"
"Jules A. Hoffmann","France","Nobel Prize in Physiology or Medicine","46","2"
"Alfred G. Gilman","United States","Nobel Prize in Physiology or Medicine","38","-97"
"David Gross","United States","{Nobel Prize in Physics|Dirac Prize|Harvey Prize}","38","-97"
"Myron Scholes","Canada","Nobel Memorial Prize in Economic Sciences","60","-95"
"Martin Evans","United Kingdom","{Albert Lasker Award for Basic Medical Research|Nobel Prize in Physiology or Medicine}","54","-2"
"Karl Barry Sharpless","United States","{Scheele Award|Nobel Prize in Chemistry|Franklin Institute|Harvey Prize}","38","-97"
"Robert F. Engle","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Robert H. Grubbs","United States","{Tolman Award|Nobel Prize in Chemistry}","38","-97"
"Christiane Nüsslein-Volhard","Germany","{Albert Lasker Award for Basic Medical Research|Nobel Prize in Physiology or Medicine|Gottfried Wilhelm Leibniz Prize}","51","9"
"Christopher A. Sims","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"John Sulston","United Kingdom","{Knight Bachelor|Royal Society|Nobel Prize in Physiology or Medicine|George W. Beadle Award}","54","-2"
"Thomas J. Sargent","United States","{NAS Award for Scientific Reviewing|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Michael Spence","United States","{John Bates Clark Medal|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Johann Deisenhofer","Germany","Nobel Prize in Chemistry","51","9"
"Ralph M. Steinman","Canada","Nobel Prize in Physiology or Medicine","60","-95"
"Finn E. Kydland","Norway","NULL","62","10"
"Erwin Neher","Germany","{Louisa Gross Horwitz Prize|Nobel Prize in Physiology or Medicine|Gottfried Wilhelm Leibniz Prize}","51","9"
"James Heckman","United States","{John Bates Clark Medal|Nobel Memorial Prize in Economic Sciences}","38","-97"
"Phillip Allen Sharp","United States","{Nobel Prize in Physiology or Medicine|National Medal of Science}","38","-97"
"Robert C. Merton","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"David J. Wineland","United States","{Nobel Prize in Physics|Arthur L. Schawlow Prize in Laser Science|National Medal of Science}","38","-97"
"David Trimble","United Kingdom","NULL","54","-2"
"Richard R. Schrock","United States","Nobel Prize in Chemistry","38","-97"
"George Smoot","United States","{Oersted Medal|Nobel Prize in Physics|Albert Einstein Medal}","38","-97"
"Elfriede Jelinek","Austria","NULL","47.33333333","13.33333333"
"John C. Mather","United States","Nobel Prize in Physics","38","-97"
"Georges J. F. Köhler","Germany","Nobel Prize in Physiology or Medicine","51","9"
"Gerard 't Hooft","Netherlands","{Franklin Medal|Lomonosov Gold Medal|Nobel Prize in Physics|Spinoza Prize|Wolf Prize|Lorentz Medal}","52.5","5.75"
"Ahmed Zewail","Egypt","{Albert Einstein World Award of Science|Davy Medal|Tolman Award|Franklin Institute|Wolf Prize|Priestley Medal|Order of the Nile}","27","30"
"Eric F. Wieschaus","United States","Nobel Prize in Physiology or Medicine","38","-97"
"H. Robert Horvitz","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Linda B. Buck","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Françoise Barré-Sinoussi","France","Nobel Prize in Physiology or Medicine","46","2"
"Aaron Ciechanover","Israel","Nobel Prize in Chemistry","31.47","35.13"
"Luise Druke","Germany","{United Nations High Commissioner for Refugees|Nobel Peace Prize}","51","9"
"Hartmut Michel","Germany","{Nobel Prize in Chemistry|Gottfried Wilhelm Leibniz Prize}","51","9"
"Christopher A. Pissarides","Cyprus","IZA Prize in Labor Economics","35","33"
"Paul Nurse","United Kingdom","{Albert Einstein World Award of Science|Nobel Prize in Physiology or Medicine|Copley Medal}","54","-2"
"Peter Agre","United States","Nobel Prize in Chemistry","38","-97"
"Horst Ludwig Störmer","Germany","{Nobel Prize in Physics|Franklin Institute}","51","9"
"Hugh David Politzer","United States","Nobel Prize in Physics","38","-97"
"Eric Maskin","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Georg Bednorz","Germany","Nobel Prize in Physics","51","9"
"Russell Alan Hulse","United States","Nobel Prize in Physics","38","-97"
"Jody Williams","United States","NULL","38","-97"
"Roger Myerson","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Frank Wilczek","United States","{Nobel Prize in Physics|Dirac Prize|Lilienfeld Prize|King Faisal International Prize|Sakurai Prize|Lorentz Medal}","38","-97"
"Carl Wieman","United States","{Oersted Medal|Nobel Prize in Physics|Franklin Institute|King Faisal International Prize|Lorentz Medal}","38","-97"
"Lars Peter Hansen","United States","Nobel Memorial Prize in Economic Sciences","38","-97"
"Orhan Pamuk","Turkey","NULL","39","35"
"Herta Müller","Germany","{Carl Zuckmayer Medal|International IMPAC Dublin Literary Award|Roswitha Prize|Kleist Prize|Franz Werfel Human Rights Award|Aristeion Prize|Hoffmann von Fallersleben Prize}","51","9"
"Brian Kobilka","United States","Nobel Prize in Chemistry","38","-97"
"Roderick MacKinnon","United States","{Albert Lasker Award for Basic Medical Research|Louisa Gross Horwitz Prize|Nobel Prize in Chemistry}","38","-97"
"Bruce Beutler","United States","{Nobel Prize|Nobel Prize in Physiology or Medicine}","38","-97"
"Rigoberta Menchú","Guatemala","{Prince of Asturias Awards|Nobel Peace Prize}","15.5","-90.25"
"Andrew Fire","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Saul Perlmutter","United States","{Shaw Prize|Nobel Prize in Physics|Gruber Prize in Cosmology|Ernest Orlando Lawrence Award}","38","-97"
"Craig Mello","United States","Nobel Prize in Physiology or Medicine","38","-97"
"Eric Allin Cornell","United States","{Nobel Prize in Physics|Franklin Institute|King Faisal International Prize|Lorentz Medal}","38","-97"
"Brian Schmidt","Australia","{Shaw Prize|Nobel Prize in Physics}","-27","133"
"Leymah Gbowee","Liberia","Nobel Peace Prize","6.5","-9.5"
"Tawakkol Karman","Yemen","Nobel Peace Prize","15","48"
"Holly Walsh","United Kingdom","NULL","54","-2"
