"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_label","deathDate","deathPlace_label","citizenship_label","nationality_label","stateOfOrigin_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label","nobel_prize"
"NULL","Élie Ducommun","NULL","1833-02-19","1833-01-01T00:00:00+02:00","NULL","1906-12-07","NULL","NULL","NULL","NULL","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|CausalAgent100007347|Communicator109610660|Honoree110183757|Journalist110224578|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|PhysicalEntity100001930|SwissJournalists|SwissNobelLaureates|NobelPeacePrizeLaureates|PeopleFromGeneva|YagoLegalActor}","Nobel Peace Prize"
"Giosuè Alessandro Giuseppe Carducci","Giosuè Carducci","NULL","1835-07-27","1835-01-01T00:00:00+02:00","{Italy|Pietrasanta|Tuscany}","1907-02-16","{Italy|Bologna}","NULL","Italy","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|PersonWithOccupation|Writer|ItalianAtheists|ItalianNobelLaureates|ItalianPoets|Acquirer109764201|Atheist109820044|CausalAgent100007347|Communicator109610660|Disbeliever110015897|Honoree110183757|Laureate110249011|LivingThing100004258|NonreligiousPerson109625789|Object100002684|Organism100004475|Person100007846|Poet110444194|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInLiterature|PeopleFromPietrasanta|YagoLegalActor}","Nobel Prize in Literature"
"Johann Friedrich Wilhelm Adolf von Baeyer","Adolf von Baeyer","{Davy Medal|Nobel Prize in Chemistry}","1835-10-31","1835-01-01T00:00:00+02:00","{Berlin|Germany|German Confederation}","1917-08-20","{German Empire|Germany|Starnberg}","NULL","Germany","NULL","Humboldt University of Berlin","Organic chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|Acquirer109764201|Associate109816771|CausalAgent100007347|Chemist109913824|Colleague109935990|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|NobelLaureatesInChemistry|OrganicChemists|PeopleFromBerlin|YagoLegalActor}","Nobel Prize in Chemistry"
"NULL","Fredrik Bajer","Nobel Peace Prize","1837-04-21","1837-01-01T00:00:00+02:00","NULL","1922-01-22","NULL","NULL","Denmark","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|CausalAgent100007347|Communicator109610660|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|DanishNobelLaureates|DanishWriters|PhysicalEntity100001930|NobelPeacePrizeLaureates|YagoLegalActor}","Nobel Peace Prize"
"NULL","Johannes Diderik van der Waals","Nobel Prize in Physics","1837-11-23","1837-01-01T00:00:00+02:00","Leiden","1923-03-08","Amsterdam","NULL","NULL","NULL","Leiden University","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|LeidenUniversityAlumni|TheoreticalPhysicists|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchNobelLaureates|DutchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromLeiden|YagoLegalActor}","Nobel Prize in Physics"
"Tobias Michel Karel Asser","Tobias Asser","Nobel Peace Prize","1838-04-28","1838-01-01T00:00:00+02:00","{Amsterdam|Netherlands}","1913-07-29","{Netherlands|The Hague}","NULL","NULL","NULL","{University of Amsterdam|Leiden University}","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|InternationalLawScholars|JewishScientists|LeidenUniversityAlumni|Acquirer109764201|Adult109605289|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|Lawyer110249950|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchLawyers|DutchLegalScholars|DutchNobelLaureates|PhysicalEntity100001930|NobelPeacePrizeLaureates|PeopleFromAmsterdam|YagoLegalActor}","Nobel Peace Prize"
"René François Armand Prudhomme","Sully Prudhomme","NULL","1839-03-16","1839-01-01T00:00:00+02:00","NULL","1907-09-06","Châtenay-Malabry","NULL","France","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|PersonWithOccupation|Writer|WritersFromParis|Acquirer109764201|CausalAgent100007347|Communicator109610660|Essayist110064405|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Poet110444194|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|FrenchEssayists|FrenchNobelLaureates|FrenchPoets|PhysicalEntity100001930|SymbolistPoets|NobelLaureatesInLiterature|YagoLegalActor}","Nobel Prize in Literature"
"NULL","Emil Theodor Kocher","NULL","1841-08-25","1841-01-01T00:00:00+02:00","{Switzerland|Bern}","1917-07-27","NULL","NULL","NULL","NULL","NULL","NULL","{agent|medician|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|SwissNobelLaureates|SwissScientists|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBern|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Ferdinand Buisson","NULL","1841-12-20","1841-01-01T00:00:00+02:00","{Paris|France}","1932-02-16","{France|Thieuloy-Saint-Antoine}","NULL","France","France","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Whole100003553|YagoLegalActorGeo|FrenchNobelLaureates|PhysicalEntity100001930|NobelPeacePrizeLaureates|YagoLegalActor}","Nobel Peace Prize"
"NULL","Louis Renault (jurist)","NULL","1843-05-21","1843-01-01T00:00:00+02:00","NULL","1918-02-08","NULL","NULL","NULL","NULL","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Whole100003553|YagoLegalActorGeo|FrenchNobelLaureates|PhysicalEntity100001930|NobelPeacePrizeLaureates|PeopleFromAutun|YagoLegalActor}","Nobel Peace Prize"
"Robert Heinrich Herman Koch","Robert Koch","Nobel Prize in Physiology or Medicine","1843-12-11","1843-01-01T00:00:00+02:00","{Kingdom of Hanover|Clausthal-Zellerfeld}","1910-05-27","{Baden-Baden|Grand Duchy of Baden}","NULL","Germany","NULL","University of Göttingen","Microbiology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanBiologists|GermanInventors|GermanMicrobiologists|GermanNobelLaureates|GermanPhysicians|Acquirer109764201|Adult109605289|Biologist109855630|CausalAgent100007347|Creator109614315|Doctor110020890|HealthProfessional110165109|Honoree110183757|Inventor110214637|Laureate110249011|LivingThing100004258|Microbiologist110313580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromGoslar(district)|PeopleFromTheKingdomOfHanover|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Bertha von Suttner","Nobel Peace Prize","1843-06-09","1843-01-01T00:00:00+02:00","{Prague|Austrian Empire}","1914-06-21","{Austria-Hungary|Vienna}","NULL","NULL","NULL","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|WomenNobelLaureates|19th-centuryAustrianPeople|19th-centuryCzechPeople|Acquirer109764201|Adult109605289|Agnostic109779124|AustrianAgnostics|AustrianJournalists|AustrianNobelLaureates|AustrianNovelists|AustrianPacifists|AustrianPeopleOfCzechDescent|Austro-HungarianNobelLaureates|Austro-HungarianWriters|CausalAgent100007347|Communicator109610660|Honoree110183757|Journalist110224578|Laureate110249011|LivingThing100004258|Novelist110363573|Object100002684|Organism100004475|Pacifist110390199|Person100007846|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|CzechJournalists|CzechNobelLaureates|CzechNovelists|CzechPacifists|PhysicalEntity100001930|NobelPeacePrizeLaureates|PeopleFromPrague|YagoLegalActor}","Nobel Peace Prize"
"NULL","Camillo Golgi","Nobel Prize in Physiology or Medicine","1843-07-07","1843-01-01T00:00:00+02:00","{Italy|Corteno|Corteno Golgi|Austrian Empire|Kingdom of Lombardy–Venetia}","1926-01-21","{Kingdom of Italy|Pavia}","{Kingdom of Italy|Austrian Empire}","Italy","NULL","NULL","Neuroscience","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|ItalianAnatomists|ItalianNeuroscientists|ItalianNobelLaureates|ItalianPathologists|Lawgiver110249270|Acquirer109764201|Adult109605289|Anatomist109792237|Biologist109855630|CausalAgent100007347|Diagnostician110011074|Doctor110020890|Expert109617867|HealthProfessional110165109|Honoree110183757|Laureate110249011|Leader109623038|Legislator110253995|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Politician110451263|Professional110480253|Recipient109627906|Scientist110560637|Senator110578471|Specialist110632576|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|SenatorsOfTheKingdomOfItaly|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|Pathologists|PeopleFromPavia|PeopleFromTheProvinceOfBrescia|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Charles Albert Gobat","NULL","1843-05-21","1843-01-01T00:00:00+02:00","NULL","1914-03-16","NULL","NULL","NULL","NULL","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|SwissNobelLaureates|NobelPeacePrizeLaureates|PeopleFromTheBerneseJura|YagoLegalActor}","Nobel Peace Prize"
"NULL","Klas Pontus Arnoldson","NULL","1844-10-27","1844-01-01T00:00:00+02:00","NULL","1916-02-20","NULL","NULL","NULL","NULL","NULL","NULL","{agent|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Humanitarians|Acquirer109764201|Benefactor109608709|CausalAgent100007347|GoodPerson110138767|Honoree110183757|Humanitarian110191613|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Politician110451263|Recipient109627906|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|SwedishNobelLaureates|SwedishPoliticians|NobelPeacePrizeLaureates|YagoLegalActor}","Nobel Peace Prize"
"NULL","Anatole France","NULL","1844-04-16","1844-01-01T00:00:00+02:00","{Paris|France}","1924-10-12","{Tours|France}","NULL","France","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|Writer|WritersFromParis|Acquirer109764201|Adult109605289|Alumnus109786338|CausalAgent100007347|Communicator109610660|Conservative109957156|Entertainer109616922|Honoree110183757|Humorist110191943|Intellectual109621545|Laureate110249011|LivingThing100004258|Monarchist110327824|Novelist110363573|Object100002684|Organism100004475|Person100007846|Poet110444194|Recipient109627906|Satirist110552742|Scholar110557854|Whole100003553|Writer110794014|YagoLegalActorGeo|Coll%C3%A8geStanislasDeParisAlumni|FrenchFantasyWriters|FrenchMonarchists|FrenchNobelLaureates|FrenchNovelists|FrenchPoets|FrenchSatirists|PhysicalEntity100001930|Rightist110531227|PseudonymousWriters|NobelLaureatesInLiterature|YagoLegalActor}","Nobel Prize in Literature"
"NULL","Elihu Root","NULL","1845-02-15","1845-01-01T00:00:00+02:00","{Clinton Oneida County New York|United States}","1937-02-07","{New York City|United States}","NULL","NULL","NULL","{Hamilton College (New York)|New York University School of Law}","NULL","{agent|office holder|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HamiltonCollege(NewYork)Alumni|Lawgiver110249270|UnitedStatesAttorneysForTheSouthernDistrictOfNewYork|UnitedStatesSecretariesOfState|UnitedStatesSecretariesOfWar|UnitedStatesSenatorsFromNewYork|Acquirer109764201|Adult109605289|Alumnus109786338|AmericanNobelLaureates|AmericanProsecutors|CausalAgent100007347|Head110162991|Honoree110183757|Intellectual109621545|Laureate110249011|Lawyer110249950|Leader109623038|Legislator110253995|LivingThing100004258|Object100002684|Official110372373|Organism100004475|Person100007846|Politician110451263|Professional110480253|Prosecutor110484858|Recipient109627906|Scholar110557854|Secretary110570019|Senator110578471|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|RepublicanPartyUnitedStatesSenators|NewYorkLawyers|NobelPeacePrizeLaureates|PeopleFromOneidaCountyNewYork|YagoLegalActor}","Nobel Peace Prize"
"Jonas Ferdinand Gabriel Lippmann","Gabriel Lippmann","Nobel Prize in Physics","1845-08-16","1845-01-01T00:00:00+02:00","{Luxembourg|Hollerich|Bonnevoie}","1921-07-13","SS France (1910)","NULL","NULL","NULL","École Normale Supérieure","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishInventors|JewishScientists|LuxembourgianInventors|LuxembourgianNobelLaureates|LuxembourgianPeopleOfFrenchDescent|Lyc%C3%A9eHenri-IVAlumni|Acquirer109764201|AlumniOfThe%C3%89coleNormaleSup%C3%A9rieure|Alumnus109786338|CausalAgent100007347|Creator109614315|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColorScientists|ExperimentalPhysicists|FrenchNobelLaureates|FrenchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromLuxembourg(city)|PeopleWhoDiedAtSea|YagoLegalActor}","Nobel Prize in Physics"
"NULL","Carl Spitteler","NULL","1845-04-24","1845-01-01T00:00:00+02:00","Liestal","1924-12-29","Lucerne","NULL","Switzerland","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Artist|PersonWithOccupation|Writer|Acquirer109764201|CausalAgent100007347|Communicator109610660|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Whole100003553|Writer110794014|YagoLegalActorGeo|PhysicalEntity100001930|SwissNobelLaureates|SwissWriters|NobelLaureatesInLiterature|PeopleAssociatedWithTheUniversityOfZurich|PeopleFromBasel-Landschaft|PeopleFromBasel-Stadt|PeopleFromLiestal|YagoLegalActor}","Nobel Prize in Literature"
"NULL","Charles Louis Alphonse Laveran","Nobel Prize in Physiology or Medicine","1845-06-18","1845-01-01T00:00:00+02:00","{Paris|France}","1922-05-18","{Paris|France}","NULL","France","NULL","University of Strasbourg","{Parasitology|Tropical medicine}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|wgs84_pos#SpatialThing|Scientist|Acquirer109764201|Adult109605289|CausalAgent100007347|Doctor110020890|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FrenchNobelLaureates|FrenchPhysicians|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"Wilhelm Conrad Röntgen","Wilhelm Röntgen","NULL","1845-03-27","1845-01-01T00:00:00+02:00","{Remscheid|German Confederation|Prussia|Rhine Province}","1923-02-10","{Germany|Munich|German Confederation}","NULL","Germany","NULL","{University of Zurich|ETH Zurich}","{Physics|X-ray astronomy}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanNobelLaureates|GermanPhysicists|UtrechtUniversityAlumni|Acquirer109764201|Adult109605289|Alumnus109786338|CausalAgent100007347|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Teacher110694258|Whole100003553|YagoLegalActorGeo|ETHZurichAlumni|ExperimentalPhysicists|PhysicalEntity100001930|ScienceTeacher110560548|ScienceTeachers|NobelLaureatesInPhysics|PeopleAssociatedWithTheUniversityOfZurich|PeopleFromApeldoorn|PeopleFromRemscheid|PeopleFromTheRhineProvince|YagoLegalActor}","Nobel Prize in Physics"
