"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_label","deathDate","deathPlace_label","citizenship_label","nationality_label","stateOfOrigin_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label","nobel_prize","corrected_nationality"
"NULL","Albert Szent-Györgyi","Nobel Prize in Physiology or Medicine","1893-09-16","1893-01-01T00:00:00+02:00","{Austria-Hungary|Budapest}","1986-10-22","Woods Hole Massachusetts","{Austria-Hungary|United States}","NULL","NULL","{Doctor of Philosophy|Semmelweis University|University of Cambridge}","{Biochemistry|Physiology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HonoraryFellowsOfTheRoyalSocietyOfEdinburgh|HungarianBiochemists|HungarianEmigrantsToTheUnitedStates|HungarianNobelLaureates|HungarianPeopleOfWorldWarII|HungarianScientists|Acquirer109764201|AlumniOfFitzwilliamCollegeCambridge|Alumnus109786338|AmericanPeopleOfHungarianDescent|AmericanTaxResisters|Associate109816771|Biochemist109854915|CausalAgent100007347|Chemist109913824|Citizen109923673|Colleague109935990|Disputant109615465|Emigrant110051975|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Obstructionist110349243|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|Migrant110314952|National109625401|PhysicalEntity100001930|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Dickinson W. Richards","Nobel Prize in Physiology or Medicine","1895-10-30","1895-01-01T00:00:00+02:00","Orange New Jersey","1973-02-23","Lakeville Connecticut","NULL","United States","NULL","{Yale University|Columbia University College of Physicians and Surgeons}","{Medicine|Physiology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardUniversityPeople|UnitedStatesArmyOfficers|YaleUniversityAlumni|Acquirer109764201|Adult109605289|Alumnus109786338|AmericanNobelLaureates|AmericanPhysicians|ArmyOfficer109809749|CausalAgent100007347|Doctor110020890|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|MilitaryOfficer110317007|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|ColumbiaMedicalSchoolAlumni|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromOrangeNewJersey|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Artturi Ilmari Virtanen","Nobel Prize in Chemistry","1895-01-15","1895-01-01T00:00:00+02:00","{Finland|Helsinki}","1973-11-11","{Finland|Helsinki}","NULL","Finland","NULL","University of Helsinki","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Academician109759069|AcademicsOfTheUniversityOfHelsinki|Acquirer109764201|Adult109605289|AgricultureEducators|CausalAgent100007347|Chemist109913824|Creator109614315|Educator110045713|Honoree110183757|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|FinnishChemists|FinnishInventors|FinnishNobelLaureates|FoodScientists|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromHelsinki|PeopleFromVyborg|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Ragnar Frisch","Nobel Memorial Prize in Economic Sciences","1895-03-03","1895-01-01T00:00:00+02:00","{Norway|Oslo}","1973-01-31","{Norway|Oslo}","NULL","Norway","NULL","University of Oslo","Economics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GriniConcentrationCampSurvivors|Academician109759069|AcademicsOfTheFacultyOfLawUniversityOfOslo|Acquirer109764201|Adult109605289|BergConcentrationCampSurvivors|BredtveitConcentrationCampSurvivors|CausalAgent100007347|Communicator109610660|Econometrician110043491|Economist110043643|Educator110045713|HeadOfState110164747|Honoree110183757|Laureate110249011|LivingThing100004258|Negotiator110351874|Object100002684|Organism100004475|Person100007846|President110467179|Professional110480253|Recipient109627906|Representative110522035|Scientist110560637|SocialScientist110619642|Survivor110681194|Unfortunate109630641|Whole100003553|YagoLegalActorGeo|Econometricians|PhysicalEntity100001930|PresidentsOfTheEconometricSociety|NobelLaureatesInEconomics|NorwegianEconomists|NorwegianNobelLaureates|PeopleFromOslo|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences","NULL"
"Gerhard Johannes Paul Domagk","Gerhard Domagk","{Royal Society|Nobel Prize in Physiology or Medicine}","1895-10-30","1895-01-01T00:00:00+02:00","{Province of Brandenburg|Łagów Świebodzin County}","1964-04-24","Burgberg_K%C3%B6nigsfeld","NULL","Germany","NULL","University of Kiel","Bacteriology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanBacteriologists|GermanNobelLaureates|Acquirer109764201|Adult109605289|Bacteriologist109831411|Biologist109855630|CausalAgent100007347|Diagnostician110011074|Doctor110020890|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|Pathologists|PeopleFrom%C5%9AwiebodzinCounty|PeopleFromTheProvinceOfBrandenburg|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","André Frédéric Cournand","Nobel Prize in Physiology or Medicine","1895-09-24","1895-01-01T00:00:00+02:00","Paris","1988-02-19","{Berkshire County Massachusetts|Great Barrington Massachusetts}","NULL","France","NULL","NULL","Physiology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|AmericanPhysiologists|Biologist109855630|CausalAgent100007347|Citizen109923673|Emigrant110051975|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physiologist110429965|Recipient109627906|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|FrenchEmigrantsToTheUnitedStates|FrenchNobelLaureates|FrenchPhysiologists|Migrant110314952|National109625401|PhysicalEntity100001930|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"Igor Yevgenyevich Tamm","Igor Tamm","{USSR State Prize|Nobel Prize in Physics|Order of the Hero of Socialist Labour}","1895-07-08","1895-01-01T00:00:00+02:00","{Russian Empire|Vladivostok}","1971-04-12","{Moscow|Soviet Union|Russian Soviet Federative Socialist Republic}","NULL","Russian Federation","NULL","{Moscow State University|University of Edinburgh}","Particle physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HeroesOfSocialistLabour|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Creator109614315|Gambler110118844|Hero110325013|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|PrizeWinner109627807|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ExperimentalPhysicists|PhysicalEntity100001930|RussianInventors|RussianNobelLaureates|RussianPhysicists|SovietPhysicists|StalinPrizeWinners|Winner110782791|MoscowStateUniversityAlumni|NobelLaureatesInPhysics|ParticlePhysicists|PeopleFromVladivostok|YagoLegalActor}","Nobel Prize in Physics","NULL"
"NULL","William Giauque","{Nobel Prize in Chemistry|Willard Gibbs Award|Elliott Cresson Medal}","1895-05-12","1895-01-01T00:00:00+02:00","{Niagara Falls Ontario|Canada}","1982-03-28","{Berkeley California|California}","NULL","United States","NULL","University of California Berkeley","Physical chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Acquirer109764201|AmericanChemists|AmericanNobelLaureates|CanadianNobelLaureates|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromNiagaraFallsOntario|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Philip Showalter Hench","Nobel Prize in Physiology or Medicine","1896-02-28","1896-01-01T00:00:00+02:00","{Pittsburgh|United States}","{1896-02-28|1965-03-30}","NULL","NULL","NULL","NULL","{University of Pittsburgh|Lafayette College}","Medicine","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|Adult109605289|AmericanEndocrinologists|AmericanNobelLaureates|AmericanPhysicians|CausalAgent100007347|Doctor110020890|Endocrinologist110056914|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Robert S. Mulliken","{Nobel Prize in Chemistry|Priestley Medal}","1896-06-07","1896-01-01T00:00:00+02:00","Newburyport Massachusetts","1986-10-31","Arlington County Virginia","NULL","United States","NULL","{Massachusetts Institute of Technology|University of Chicago}","{Chemistry|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GuggenheimFellows|HarvardUniversityAlumni|TheoreticalChemists|Acquirer109764201|Alumnus109786338|AmericanChemists|AmericanNobelLaureates|AmericanPeopleOfScottishDescent|AmericanPhysicists|Associate109816771|CausalAgent100007347|Chemist109913824|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromNewburyportMassachusetts|PhysicalChemists|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"Nikolay Nikolayevich Semyonov","Nikolay Semyonov","Nobel Prize in Chemistry","1896-01-01T00:00:00+02:00","1896-01-01T00:00:00+02:00","{Saratov|Russian Empire}","1986-09-25","NULL","NULL","NULL","NULL","NULL","{Chemistry|Physicist}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HeroesOfSocialistLabourTwice|LeninPrizeWinners|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Chemist109913824|Gambler110118844|Hero110325013|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|PrizeWinner109627807|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|RussianChemists|RussianNobelLaureates|RussianPhysicists|SaintPetersburgStateUniversityAlumni|SovietChemists|SovietPhysicists|StalinPrizeWinners|Winner110782791|NobelLaureatesInChemistry|PeopleFromSaratov|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Carl Ferdinand Cori","{Nobel Prize in Physiology or Medicine|Willard Gibbs Award}","1896-12-05","1896-01-01T00:00:00+02:00","Prague","1984-10-20","Cambridge Massachusetts","NULL","Austria","NULL","{Charles University in Prague|First_Faculty_of_Medicine}","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardUniversityPeople|20th-centuryAmericanPeople|20th-centuryAustrianPeople|20th-centuryCzechPeople|Acquirer109764201|AmericanBiochemists|AmericanNobelLaureates|AustrianBiochemists|AustrianNobelLaureates|Austro-HungarianEmigrantsToTheUnitedStates|Austro-HungarianPeople|Biochemist109854915|CausalAgent100007347|Chemist109913824|Citizen109923673|Emigrant110051975|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|CzechBiochemists|CzechNobelLaureates|Migrant110314952|National109625401|PhysicalEntity100001930|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBuffaloNewYork|PeopleFromPrague|YagoLegalActor}","Nobel Prize in Physiology or Medicine","NULL"
"NULL","Irène Joliot-Curie","Nobel Prize in Chemistry","1897-09-12","1897-01-01T00:00:00+02:00","NULL","1956-03-17","NULL","French people","France","NULL","University of Paris","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|WomenChemists|WomenNobelLaureates|Acquirer109764201|CausalAgent100007347|Chemist109913824|Disputant109615465|Honoree110183757|Laureate110249011|Leader109623038|LivingThing100004258|Militant110315837|Object100002684|Organism100004475|Person100007846|Politician110450303|Recipient109627906|Reformer110515194|Scientist110560637|Socialist110618848|Whole100003553|YagoLegalActorGeo|FrenchActivists|FrenchNobelLaureates|FrenchPeopleOfPolishDescent|FrenchScientists|FrenchSocialists|PhysicalEntity100001930|NobelLaureatesInChemistry|NuclearChemist110364502|NuclearChemists|PeopleFromParis|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"NULL","Georg Wittig","Nobel Prize in Chemistry","1897-06-16","1897-01-01T00:00:00+02:00","{Berlin|German Empire}","1987-08-26","{Heidelberg|West Germany}","NULL","NULL","NULL","University of Marburg","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|OrganicChemists|PeopleFromBerlin|YagoLegalActor}","Nobel Prize in Chemistry","NULL"
"Patrick Maynard Stuart Blackett","Patrick Blackett Baron Blackett","Nobel Prize in Physics","1897-11-18","1897-01-01T00:00:00+02:00","{England|London}","1974-07-13","{England|London}","NULL","United Kingdom","NULL","{Osborne House|University of Cambridge}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LabourParty(UK)LifePeers|Academician109759069|AcademicsOfBirkbeckUniversityOfLondon|AcademicsOfImperialCollegeLondon|AcademicsOfTheVictoriaUniversityOfManchester|Acquirer109764201|Adult109605289|AlumniOfKing'sCollegeCambridge|AlumniOfMagdaleneCollegeCambridge|Alumnus109786338|Aristocrat109807754|Associate109816771|BritishNobelLaureates|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Educator110045713|Golfer110136959|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Medalist110304914|Negotiator110351874|Noble110271677|Object100002684|Organism100004475|Peer109626238|Peer110412910|Person100007846|Physicist110428004|Player110439851|President110467179|Professional110480253|Recipient109627906|Representative110522035|ResearchWorker110523076|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishPhysicists|ExperimentalPhysicists|FellowsOfKing'sCollegeCambridge|FellowsOfTheRoyalSociety|LifePeer110260943|MaleAristocrat110285135|PhysicalEntity100001930|PresidentsOfTheRoyalSociety|RoyalMedalWinners|NobelLaureatesInPhysics|OperationsResearchers|YagoLegalActor}","Nobel Prize in Physics","NULL"
