"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_labeldeathDate","deathPlace_label","citizenship_label","nationality_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label"
"NULL","Ragnar Frisch","Nobel Memorial Prize in Economic Sciences","1895-03-03","1895-01-01T00:00:00+02:00","NULL","{Norway|Oslo}","NULL","Norway","University of Oslo","Economics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GriniConcentrationCampSurvivors|Academician109759069|AcademicsOfTheFacultyOfLawUniversityOfOslo|Acquirer109764201|Adult109605289|BergConcentrationCampSurvivors|BredtveitConcentrationCampSurvivors|CausalAgent100007347|Communicator109610660|Econometrician110043491|Economist110043643|Educator110045713|HeadOfState110164747|Honoree110183757|Laureate110249011|LivingThing100004258|Negotiator110351874|Object100002684|Organism100004475|Person100007846|President110467179|Professional110480253|Recipient109627906|Representative110522035|Scientist110560637|SocialScientist110619642|Survivor110681194|Unfortunate109630641|Whole100003553|YagoLegalActorGeo|Econometricians|PhysicalEntity100001930|PresidentsOfTheEconometricSociety|NobelLaureatesInEconomics|NorwegianEconomists|NorwegianNobelLaureates|PeopleFromOslo|YagoLegalActor}"
"Gerhard Johannes Paul Domagk","Gerhard Domagk","{Royal Society|Nobel Prize in Physiology or Medicine}","1895-10-30","1895-01-01T00:00:00+02:00","NULL","Burgberg_K%C3%B6nigsfeld","NULL","Germany","University of Kiel","Bacteriology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|GermanBacteriologists|GermanNobelLaureates|Acquirer109764201|Adult109605289|Bacteriologist109831411|Biologist109855630|CausalAgent100007347|Diagnostician110011074|Doctor110020890|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|Pathologists|PeopleFrom%C5%9AwiebodzinCounty|PeopleFromTheProvinceOfBrandenburg|YagoLegalActor}"
"NULL","André Frédéric Cournand","Nobel Prize in Physiology or Medicine","1895-09-24","1895-01-01T00:00:00+02:00","NULL","{Berkshire County Massachusetts|Great Barrington Massachusetts}","NULL","France","NULL","Physiology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|AmericanPhysiologists|Biologist109855630|CausalAgent100007347|Citizen109923673|Emigrant110051975|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physiologist110429965|Recipient109627906|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|FrenchEmigrantsToTheUnitedStates|FrenchNobelLaureates|FrenchPhysiologists|Migrant110314952|National109625401|PhysicalEntity100001930|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}"
"Igor Yevgenyevich Tamm","Igor Tamm","{USSR State Prize|Nobel Prize in Physics|Order of the Hero of Socialist Labour}","1895-07-08","1895-01-01T00:00:00+02:00","NULL","{Moscow|Soviet Union|Russian Soviet Federative Socialist Republic}","NULL","Soviet Union","{Moscow State University|University of Edinburgh}","Particle physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HeroesOfSocialistLabour|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Creator109614315|Gambler110118844|Hero110325013|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|PrizeWinner109627807|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ExperimentalPhysicists|PhysicalEntity100001930|RussianInventors|RussianNobelLaureates|RussianPhysicists|SovietPhysicists|StalinPrizeWinners|Winner110782791|MoscowStateUniversityAlumni|NobelLaureatesInPhysics|ParticlePhysicists|PeopleFromVladivostok|YagoLegalActor}"
"NULL","William Giauque","{Nobel Prize in Chemistry|Willard Gibbs Award|Elliott Cresson Medal}","1895-05-12","1895-01-01T00:00:00+02:00","NULL","{Berkeley California|California}","NULL","United States","University of California Berkeley","Physical chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|Acquirer109764201|AmericanChemists|AmericanNobelLaureates|CanadianNobelLaureates|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromNiagaraFallsOntario|YagoLegalActor}"
"NULL","Philip Showalter Hench","Nobel Prize in Physiology or Medicine","1896-02-28","1896-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","{University of Pittsburgh|Lafayette College}","Medicine","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Acquirer109764201|Adult109605289|AmericanEndocrinologists|AmericanNobelLaureates|AmericanPhysicians|CausalAgent100007347|Doctor110020890|Endocrinologist110056914|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}"
"NULL","Robert S. Mulliken","{Nobel Prize in Chemistry|Priestley Medal}","1896-06-07","1896-01-01T00:00:00+02:00","NULL","Arlington County Virginia","NULL","United States","{Massachusetts Institute of Technology|University of Chicago}","{Chemistry|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GuggenheimFellows|HarvardUniversityAlumni|TheoreticalChemists|Acquirer109764201|Alumnus109786338|AmericanChemists|AmericanNobelLaureates|AmericanPeopleOfScottishDescent|AmericanPhysicists|Associate109816771|CausalAgent100007347|Chemist109913824|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromNewburyportMassachusetts|PhysicalChemists|YagoLegalActor}"
"Nikolay Nikolayevich Semyonov","Nikolay Semyonov","Nobel Prize in Chemistry","1896-01-01T00:00:00+02:00","1896-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","{Chemistry|Physicist}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HeroesOfSocialistLabourTwice|LeninPrizeWinners|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Chemist109913824|Gambler110118844|Hero110325013|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|PrizeWinner109627807|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|RussianChemists|RussianNobelLaureates|RussianPhysicists|SaintPetersburgStateUniversityAlumni|SovietChemists|SovietPhysicists|StalinPrizeWinners|Winner110782791|NobelLaureatesInChemistry|PeopleFromSaratov|YagoLegalActor}"
"NULL","Carl Ferdinand Cori","{Nobel Prize in Physiology or Medicine|Willard Gibbs Award}","1896-12-05","1896-01-01T00:00:00+02:00","NULL","Cambridge Massachusetts","NULL","Austria-Hungary","{Charles University in Prague|First_Faculty_of_Medicine}","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardUniversityPeople|20th-centuryAmericanPeople|20th-centuryAustrianPeople|20th-centuryCzechPeople|Acquirer109764201|AmericanBiochemists|AmericanNobelLaureates|AustrianBiochemists|AustrianNobelLaureates|Austro-HungarianEmigrantsToTheUnitedStates|Austro-HungarianPeople|Biochemist109854915|CausalAgent100007347|Chemist109913824|Citizen109923673|Emigrant110051975|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|CzechBiochemists|CzechNobelLaureates|Migrant110314952|National109625401|PhysicalEntity100001930|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBuffaloNewYork|PeopleFromPrague|YagoLegalActor}"
"NULL","Irène Joliot-Curie","Nobel Prize in Chemistry","1897-09-12","1897-01-01T00:00:00+02:00","NULL","NULL","French people","French people","University of Paris","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|WomenChemists|WomenNobelLaureates|Acquirer109764201|CausalAgent100007347|Chemist109913824|Disputant109615465|Honoree110183757|Laureate110249011|Leader109623038|LivingThing100004258|Militant110315837|Object100002684|Organism100004475|Person100007846|Politician110450303|Recipient109627906|Reformer110515194|Scientist110560637|Socialist110618848|Whole100003553|YagoLegalActorGeo|FrenchActivists|FrenchNobelLaureates|FrenchPeopleOfPolishDescent|FrenchScientists|FrenchSocialists|PhysicalEntity100001930|NobelLaureatesInChemistry|NuclearChemist110364502|NuclearChemists|PeopleFromParis|YagoLegalActor}"
"NULL","Georg Wittig","Nobel Prize in Chemistry","1897-06-16","1897-01-01T00:00:00+02:00","NULL","{Heidelberg|West Germany}","NULL","NULL","University of Marburg","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|OrganicChemists|PeopleFromBerlin|YagoLegalActor}"
"Patrick Maynard Stuart Blackett","Patrick Blackett Baron Blackett","Nobel Prize in Physics","1897-11-18","1897-01-01T00:00:00+02:00","NULL","{England|London}","NULL","United Kingdom","{Osborne House|University of Cambridge}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LabourParty(UK)LifePeers|Academician109759069|AcademicsOfBirkbeckUniversityOfLondon|AcademicsOfImperialCollegeLondon|AcademicsOfTheVictoriaUniversityOfManchester|Acquirer109764201|Adult109605289|AlumniOfKing'sCollegeCambridge|AlumniOfMagdaleneCollegeCambridge|Alumnus109786338|Aristocrat109807754|Associate109816771|BritishNobelLaureates|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Educator110045713|Golfer110136959|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Medalist110304914|Negotiator110351874|Noble110271677|Object100002684|Organism100004475|Peer109626238|Peer110412910|Person100007846|Physicist110428004|Player110439851|President110467179|Professional110480253|Recipient109627906|Representative110522035|ResearchWorker110523076|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishPhysicists|ExperimentalPhysicists|FellowsOfKing'sCollegeCambridge|FellowsOfTheRoyalSociety|LifePeer110260943|MaleAristocrat110285135|PhysicalEntity100001930|PresidentsOfTheRoyalSociety|RoyalMedalWinners|NobelLaureatesInPhysics|OperationsResearchers|YagoLegalActor}"
"NULL","Ronald George Wreyford Norrish","{Royal Society|Nobel Prize in Chemistry}","1897-11-09","1897-01-01T00:00:00+02:00","NULL","{England|Cambridge|United Kingdom}","NULL","United Kingdom","University of Cambridge","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|WorldWarIPrisonersOfWar|Acquirer109764201|Adult109605289|AlumniOfEmmanuelCollegeCambridge|Alumnus109786338|Associate109816771|BritishNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|Lector110252222|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Prisoner110476086|PrisonerOfWar110476331|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Unfortunate109630641|Whole100003553|YagoLegalActorGeo|EnglishChemists|FaradayLecturers|FellowsOfEmmanuelCollegeCambridge|FellowsOfTheRoyalSociety|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleEducatedAtThePerseSchool|PeopleFromCambridge|PhysicalChemists|YagoLegalActor}"
"NULL","John Franklin Enders","Nobel Prize in Physiology or Medicine","1897-02-10","1897-01-01T00:00:00+02:00","NULL","Waterford Connecticut","NULL","NULL","Yale University","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HarvardUniversityAlumni|UnitedStatesArmyAirForcesSoldiers|YaleUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanMedicalResearchers|AmericanNobelLaureates|AmericanScientists|Associate109816771|CausalAgent100007347|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|ResearchWorker110523076|Scholar110557854|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Soldier110622053|Whole100003553|Worker109632518|YagoLegalActorGeo|EnlistedPerson110058777|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|St.Paul'sSchool(ConcordNewHampshire)Alumni|NobelLaureatesInPhysiologyOrMedicine|PeopleFromWestHartfordConnecticut|YagoLegalActor}"
"NULL","Odd Hassel","Nobel Prize in Chemistry","1897-05-17","1897-01-01T00:00:00+02:00","NULL","NULL","NULL","Norway","University of Oslo","Physical chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GriniConcentrationCampSurvivors|Acquirer109764201|BergConcentrationCampSurvivors|BredtveitConcentrationCampSurvivors|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Survivor110681194|Unfortunate109630641|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|NorwegianChemists|NorwegianNobelLaureates|PeopleFromOslo|PhysicalChemists|YagoLegalActor}"
"NULL","Tadeus Reichstein","Nobel Prize in Physiology or Medicine","1897-07-20","1897-01-01T00:00:00+02:00","NULL","{Basel|Switzerland}","Switzerland","Poles","NULL","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishScientists|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ETHZurichAlumni|PhysicalEntity100001930|SwissNobelLaureates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromJena|PeopleFromKiev|PeopleFromW%C5%82oc%C5%82awek|PolishChemists|PolishNobelLaureates|YagoLegalActor}"
"Cyril Norman Hinshelwood","Cyril Norman Hinshelwood","{Royal Society|Nobel Prize in Chemistry}","1897-06-19","1897-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","Balliol College Oxford","Physical chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Academician109759069|Acquirer109764201|Adult109605289|AlumniOfBalliolCollegeOxford|Alumnus109786338|Associate109816771|BritishAcademics|BritishNobelLaureates|CausalAgent100007347|Chemist109913824|Colleague109935990|Communicator109610660|Contestant109613191|Educator110045713|Golfer110136959|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|Lector110252222|LivingThing100004258|Medalist110304914|Negotiator110351874|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Player110439851|President110467179|Professional110480253|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishChemists|EnglishPhysicists|FaradayLecturers|FellowsOfTheRoyalSociety|FellowsOfTrinityCollegeOxford|PhysicalEntity100001930|PresidentsOfTheBritishScienceAssociation|PresidentsOfTheRoyalSociety|RoyalMedalWinners|NobelLaureatesInChemistry|PeopleEducatedAtWestminsterCitySchool|PeopleFromLondon|PhysicalChemists|YagoLegalActor}"
"Israel Isaac Rabi","Isidor Isaac Rabi","{Public Welfare Medal|Nobel Prize in Physics|Elliott Cresson Medal|Medal for Merit}","1898-07-29","1898-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","{Columbia University|Cornell University}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|JewishAmericanScientists|JewishInventors|TheoreticalPhysicists|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanNuclearPhysicists|AmericanPeopleOfPolishDescent|AmericanPhysicists|Austro-HungarianNobelLaureates|CausalAgent100007347|Creator109614315|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|NuclearPhysicist110364643|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaUniversityAlumni|CornellUniversityAlumni|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromRyman%C3%B3w|PolishNobelLaureates|PolishNuclearPhysicists|PolishPhysicists|YagoLegalActor}"
"NULL","Gunnar Myrdal","Nobel Memorial Prize in Economic Sciences","1898-12-06","1898-01-01T00:00:00+02:00","NULL","{Sweden|Danderyd Municipality}","NULL","Sweden","Stockholm University","{Economics|Politics|Sociology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Politician110451263|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|DevelopmentEconomists|PhysicalEntity100001930|StockholmUniversityAlumni|SwedishEconomists|SwedishNobelLaureates|SwedishSocialDemocraticPartyPoliticians|NobelLaureatesInEconomics|PeopleFromOrsaMunicipality|YagoLegalActor}"
"Howard Walter Florey","Howard Florey","{Knight Bachelor|Royal Society|Nobel Prize in Physiology or Medicine|Lister Medal}","1898-09-24","1898-01-01T00:00:00+02:00","NULL","Oxford","NULL","NULL","{Magdalen College Oxford|University of Adelaide}","{Immunology|Bacteriology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LifePeers|AcademicAdministrator109758885|Academician109759069|AcademicsOfTheUniversityOfSheffield|Acquirer109764201|Administrator109770949|Adult109605289|Agnostic109779124|AlumniOfMagdalenCollegeOxford|Alumnus109786338|Aristocrat109807754|Associate109816771|AustralianAgnostics|AustralianKnights|AustralianNobelLaureates|AustralianPathologists|AustralianPeers|AustralianPharmacologists|AustralianRhodesScholars|AustralianScientists|CausalAgent100007347|Colleague109935990|Communicator109610660|Contestant109613191|Diagnostician110011074|Doctor110020890|Educator110045713|Golfer110136959|Head110162991|HeadOfState110164747|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Knight110238375|Laureate110249011|Leader109623038|LivingThing100004258|Medalist110304914|Negotiator110351874|Noble110271677|Object100002684|Organism100004475|Peer109626238|Peer110412910|Person100007846|Pharmacist110421470|Pharmacologist110421753|Player110439851|President110467179|Professional110480253|Provost110486468|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|Specialist110632576|Whole100003553|YagoLegalActorGeo|FellowsOfGonvilleAndCaiusCollegeCambridge|FellowsOfLincolnCollegeOxford|FellowsOfTheQueen'sCollegeOxford|FellowsOfTheRoyalSociety|LifePeer110260943|MaleAristocrat110285135|MedicalPractitioner110305802|PhysicalEntity100001930|PresidentsOfTheRoyalSociety|ProvostsOfTheQueen'sCollegeOxford|RoyalMedalWinners|NobelLaureatesInPhysiologyOrMedicine|PeopleEducatedAtStPeter'sCollegeAdelaide|YagoLegalActor}"
"NULL","Karl Ziegler","{Nobel Prize in Chemistry|Werner von Siemens Ring|Liebig Medal|War Merit Cross}","1898-11-26","1898-01-01T00:00:00+02:00","NULL","{West Germany|Mülheim}","NULL","NULL","University of Marburg","Organic chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GermanChemists|GermanNobelLaureates|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromHesse-Nassau|PolymerScientistsAndEngineers|YagoLegalActor}"
"NULL","Friedrich Hayek","{Presidential Medal of Freedom|Nobel Memorial Prize in Economic Sciences}","1899-05-08","1899-01-01T00:00:00+02:00","NULL","{Germany|Freiburg im Breisgau}","NULL","{United Kingdom|Austria}","{University of Vienna|Doctor of law|Doctorate}","{Economics|Political science|Psychology|Philosophy|Law}","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HeterodoxEconomists|HistoriansOfEconomicThought|LibertarianEconomists|LibertarianHistorians|20th-centuryAustrianPeople|20th-centuryPhilosophers|Academician109759069|AcademicsOfTheLondonSchoolOfEconomics|Acquirer109764201|Adult109605289|Advocate109774783|AustrianEconomists|AustrianLibertarians|AustrianNobelLaureates|AustrianPeopleOfMoravian-GermanDescent|AustrianPhilosophers|AustrianSchoolEconomists|BritishEconomists|BritishLibertarians|BritishNobelLaureates|CausalAgent100007347|Citizen109923673|Economist110043643|Educator110045713|Historian110177150|Honoree110183757|Intellectual109621545|Laureate110249011|Liberal110256756|Libertarian110257524|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Philosopher110423589|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|ClassicalLiberals|National109625401|PhysicalEntity100001930|NaturalisedCitizensOfTheUnitedKingdom|NobelLaureatesInEconomics|PeopleAssociatedWithTheLondonSchoolOfEconomics|PeopleFromVienna|PhilosophersOfLaw|YagoLegalActor}"
"NULL","Fritz Albert Lipmann","Nobel Prize in Physiology or Medicine","1899-06-12","1899-01-01T00:00:00+02:00","NULL","Poughkeepsie New York","NULL","NULL","{Humboldt University of Berlin|University of Königsberg|Kaiser Wilhelm Society|Ludwig Maximilian University of Munich}","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GermanEmigrantsToTheUnitedStates|GermanNobelLaureates|JewishAmericanScientists|Acquirer109764201|AmericanBiochemists|AmericanNobelLaureates|AmericanPeopleOfGerman-JewishDescent|Biochemist109854915|CausalAgent100007347|Chemist109913824|Emigrant110051975|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|Migrant110314952|PhysicalEntity100001930|RockefellerUniversityPeople|NobelLaureatesInPhysiologyOrMedicine|PeopleFromEastPrussia|PeopleFromK%C3%B6nigsberg|PeopleFromKaliningrad|YagoLegalActor}"
"NULL","Georg von Békésy","Nobel Prize in Physiology or Medicine","1899-06-03","1899-01-01T00:00:00+02:00","NULL","{Hawaii|Honolulu|United States}","NULL","Hungary","NULL","Biophysics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HungarianNeuroscientists|HungarianNobelLaureates|HungarianPhysicists|HungarianScientists|Acquirer109764201|AustrianPeopleOfHungarianDescent|Biologist109855630|Biophysicist109856267|Biophysicists|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBudapest|YagoLegalActor}"
"NULL","Paul Hermann Müller","Nobel Prize in Physiology or Medicine","1899-01-12","1899-01-01T00:00:00+02:00","NULL","{Basel|Switzerland}","NULL","Switzerland","University of Basel","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|CausalAgent100007347|Chemist109913824|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|SwissChemists|SwissNobelLaureates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromTheCantonOfSolothurn|YagoLegalActor}"
"NULL","Albert Claude","{Louisa Gross Horwitz Prize|Nobel Prize in Physiology or Medicine|Paul Ehrlich and Ludwig Darmstaedter Prize}","1899-08-24","1899-01-01T00:00:00+02:00","NULL","{Belgium|Brussels}","{Belgium|United States nationality law}","Belgium","University of Liège","Cell biology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Academician109759069|Acquirer109764201|Adult109605289|AmericanPeopleOfBelgianDescent|BelgianAcademics|BelgianBiologists|BelgianNobelLaureates|BelgianScientists|Biologist109855630|CausalAgent100007347|Educator110045713|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}"
